"","lon","lat"
"1",90.9,24.26
"2",90.9,24.32
"3",89.8,24.165
"4",89.9,24.28
"5",89.76,24
"6",90.5,24.2
"7",90.5,24.124
"8",89.89,24.102
"9",90.3,23.5
"10",90.3,23.53
"11",90.2,23.8
"12",90,24.067
"13",90,24.225
"14",90,23.5
"15",90.7,24.235
"16",90.69,24.3
"17",90.75,24.127
"18",90,24.253
"19",90,24.29
"20",90,24.018
"21",89.9,24.142
"22",90,23.45
"23",90.8,24.242
"24",90.8,24.055
"25",90.78,24.117
"26",90.4,24
"27",90.35,24.2
"28",90.43,24.35
"29",90.53,24.347
"30",90.56,24.335
"31",90.53,24.218
"32",90.07,24.26
"33",90.89,24.145
"34",90.88,24.248
"35",90.87,24.149
"36",90.86,24.125
"37",90.85,24.341
"38",90.84,24.254
"39",90.83,24.346
"40",90.91,24.247
"41",90.92,24.248
"42",90.93,24.155
"43",90.94,24.161
"44",90.91,24.159
"45",90.91,24.051
"46",90.91,24.158
"47",90.91,24.149
"48",90.91,24.248
"49",90.92,24.252
"50",90.91,24.256
"51",90.42,23.366
"52",90.73,24.25
"53",90.07,24.235
"54",90.09,24.109
"55",90.04,24.214
"56",90.3,24.25
"57",90.3,24.342
"58",90.3,24.253
"59",90.28,24.16
"60",90.32,24.164
"61",90.3,24.27
"62",90.32,24.15
"63",90.37,24.1342
"64",90.39,24.126
"65",90.4,24.17
"66",90.4,24.25
"67",90.4,24.242
"68",90.4,24.253
"69",90.42,24.16
"70",90.42,24.164
"71",90.43,24.17
