lon,lat,value
90.9,24.26,yes
90.9,24.32,yes
89.8,24.165,yes
89.9,24.28,yes
89.76,24,yes
90.5,24.2,yes
90.5,24.124,yes
89.89,24.102,yes
90.3,23.5,yes
90.3,23.53,yes
90.2,23.8,yes
90,24.067,yes
90,24.225,yes
90,23.5,yes
90.7,24.235,yes
90.69,24.3,yes
90.75,24.127,yes
90,24.253,yes
90,24.29,yes
90,24.018,yes
89.9,24.142,yes
90,23.45,yes
90.8,24.242,yes
90.8,24.055,yes
90.78,24.117,yes
90.4,24,yes
90.35,24.2,yes
90.43,24.35,yes
90.53,24.347,yes
90.56,24.335,yes
90.53,24.218,yes
90.07,24.26,yes
90.89,24.145,yes
90.88,24.248,yes
90.87,24.149,yes
90.86,24.125,yes
90.85,24.341,yes
90.84,24.254,yes
90.83,24.346,yes
90.91,24.247,yes
90.92,24.248,yes
90.93,24.155,yes
90.94,24.161,yes
90.91,24.159,yes
90.91,24.051,yes
90.91,24.158,yes
90.91,24.149,yes
90.91,24.248,yes
90.92,24.252,yes
90.91,24.256,yes
90.42,23.366,yes
90.73,24.25,yes
90.07,24.235,yes
90.09,24.109,yes
90.04,24.214,yes
90.3,24.25,yes
90.3,24.342,yes
90.3,24.253,yes
90.28,24.16,yes
90.32,24.164,yes
90.3,24.27,yes
90.32,24.15,yes
90.37,24.1342,yes
90.39,24.126,yes
90.4,24.17,yes
90.4,24.25,yes
90.4,24.242,yes
90.4,24.253,yes
90.42,24.16,yes
90.42,24.164,yes
90.43,24.17,yes
90.33,23.4,no
90.564,23.427,no
90.451,23.56,no
90.771,23.578,no
90.778,23.61,no
90.771,23.559,no
90.66,23.558,no
90.65,23.6,no
90.667,23.612,no
90.721,23.655,no
90.7,23.581,no
90.689,23.579,no
90.781,23.765,no
90.458,23.451,no
90.673,23.458,no
90.324,23.3651,no
90.325,23.3662,no
90.3335,23.3662,no
90.324,23.3662,no
90.3451,23.368,no
90.346,23.3721,no
90.357,23.412,no
90.359,23.415,no
90.3451,23.378,no
90.346,23.3731,no
90.357,23.422,no
90.359,23.425,no
90.3441,23.378,no
90.306,23.3731,no
90.387,23.422,no
90.767,23.425,no
90.7441,23.378,no
90.706,23.3731,no
90.787,23.422,no
90.777,23.425,no
90.7441,23.978,no
90.706,23.8631,no
90.787,23.622,no
90.777,23.725,no
90.7241,23.978,no
90.716,23.8631,no
90.767,23.622,no
90.773,23.725,no
90.7171,23.978,no
90.736,23.8631,no
90.797,23.622,no
90.783,23.725,no
90.7171,23.478,no
90.736,23.5631,no
90.797,23.522,no
90.783,23.627,no
90.7171,23.378,no
90.736,23.3631,no
90.797,23.3522,no
90.783,23.3627,no
90.867,23.425,no
90.8441,23.378,no
90.806,23.3731,no
90.887,23.422,no
90.877,23.425,no
90.8441,23.978,no
90.806,23.8631,no
90.887,23.622,no
90.877,23.725,no
90.8241,23.978,no
90.816,23.8631,no
90.867,23.622,no
90.873,23.725,no
90.8171,23.978,no
90.836,23.8631,no
90.897,23.622,no
90.883,23.725,no
90.8171,23.478,no
90.836,23.5641,no
90.897,23.522,no
90.883,23.617,no
90.8171,23.468,no
90.836,23.3331,no
90.897,23.3522,no
90.883,23.3627,no
90.9171,23.978,no
90.936,23.6631,no
90.997,23.5122,no
90.983,23.755,no
90.9171,23.458,no
90.936,23.5631,no
90.997,23.322,no
90.983,23.417,no
90.9171,23.348,no
90.936,23.3431,no
90.997,23.3422,no
90.983,23.3617,no
