lon,lat
90.9,24.75
90.9,24.72
90.9,24.6
90.9,24.65
90.9,24.8
90.5,24
90.5,24.2
90.5,24.4
90.5,25
90.3,23.5
90.3,23.3
90.2,23.8
90,24
90,24.5
90,23.5
89.7,23.7
89.9,23.5
89.9,24.45
90.7,24.5
90.69,24.3
90.75,24.7
90,25
90,24.9
90,25.1
90,25.2
90,23
89.9,23.1
90.8,24.42
90.8,24.5
90.78,24.7
90.4,24
90.35,24.2
90.43,24.35
90.53,24.47
90.56,25
90.53,24.8
90.07,24.26
90.89,24.45
90.88,24.48
90.87,24.49
90.86,24.5
90.85,24.51
90.84,24.54
90.83,24.46
90.91,24.47
90.92,24.48
90.93,24.55
90.94,24.61
90.91,24.59
90.91,24.51
90.91,24.58
90.91,24.49
90.91,24.48
90.92,24.52
90.93,24.55
89.67,23.67
89.69,23.45
89.79,23.5
89.77,23.46
90.91,24.56
90.73,24.25
89.67,23.73
90.07,25
90.09,24.9
90.04,25.14
89.71,25.2
90.3,24.5
90.3,24.42
90.3,24.53
90.28,24.6
90.32,24.64
90.3,24.7
90.32,24.5
90.37,24.42
90.3,24.53
90.39,24.6
90.32,24.64
90.4,24.7
90.4,24.5
90.4,24.42
90.4,24.53
90.42,24.6
90.42,24.64
90.43,24.7
90.88,24.73
90.89,24.72
90.89,24.6
89.9,24.65
90.5,24.36
90.5,25.08
90.3,23.53
90.23,23.3
90.23,23.8
90.04,23.83
90.11,24.42
90.15,23.8
90.74,24.63
90.73,24.3
90.75,24.76
90,24.44
90,23.27
90.8,24.78
90.8,24.73
90.68,24.48
90.87,24.49
90.68,24.5
90.68,24.51
90.58,24.54
90.48,23.7
90.68,24.59
90.87,24.51
90.68,24.58
90.73,24.56
90.75,24.25
90.75,24.45
90.42,24.64
90.43,24.73
